keyword,volume,kd_percent,cpc,traffic_potential,competitor_top_position,cluster_id,first_keyword_group,intents,serp_features,source,gap_mode,priority_score,brand_fit,product_fit,winnability,notes,business_value,free_seeker,serp_intent,dr_top10_median,referring_domains_top10_median,weak_link_count,bid_verdict,bid_reason,has_aio,aio_completeness_score,aio_click_intent,aio_verdict,aio_reasoning,aio_body_source
ai waifu,1100,41,0.2,5100,,,hiwaifu,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,72.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai waifu chatbot,100,33,0.1,5100,,,hiwaifu,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,82.5,,0,FAIL,dr_gap_too_wide,,,,,,
best ai sexting bot,40,31,,5000,,,sexting ai,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,mod=best,3,false,informational+commercial,79,,0,FAIL,dr_gap_too_wide,,,,,,
virtual girlfriend ai,250,58,0.45,4800,,,ai chat girlfriend,informational|commercial,,seed_modifier,seed_modifier,5.893,8,8,1.0,"traffic=4.46, win=1.0(kd=58,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,62,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai roleplay porn,350,23,,4700,,,ai porn chat,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,76.5,,0,FAIL,dr_gap_too_wide,,,,,,
free ai companion app,350,70,0.6,4600,,,replika app,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=free,3,true,informational+commercial,77,,1,FAIL,dr_gap_too_wide,,,,,,
ai virtual girlfriend,200,66,0.5,4500,,,virtual girlfriend,informational|commercial,,seed_modifier,seed_modifier,5.801,8,8,1.0,"traffic=4.01, win=1.0(kd=66,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,66,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
virtual girlfriend chat,200,46,,4400,,,virtual girlfriend,informational|commercial,,seed_modifier,seed_modifier,5.997,8,8,1.0,"traffic=4.99, win=1.0(kd=46,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,64,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
porn ai roleplay,90,35,,4000,,,ai porn chat,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,73,,1,FAIL,dr_gap_too_wide,,,,,,
sexting bot,600,47,0.25,3900,,,ai sext,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,89.5,,0,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay chat,150,45,0.45,3700,,,free chat now roleplay,informational|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,52.5,,0,FAIL,dr_gap_too_wide,,,,,,
best ai roleplay websites,50,67,,3500,,,ai chat roleplay,informational,,seed_modifier,seed_modifier,,7,8,,mod=best,3,false,informational,43,,0,FAIL,dr_gap_too_wide,,,,,,
best ai roleplay,300,1,0.9,3300,,,ai rp,informational,,seed_modifier,seed_modifier,,7,8,,mod=best,3,false,informational,88.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai nsfw images,450,36,,2900,,,ai image generator nsfw,informational,,seed_modifier,seed_modifier,,7,7,,,3,false,informational,76,,1,FAIL,dr_gap_too_wide,,,,,,
free adult chatbot,70,47,0.2,2800,,,ai sex free,informational,,seed_modifier,seed_modifier,,7,8,,mod=free,3,true,informational,75,,0,FAIL,dr_gap_too_wide,,,,,,
adult ai roleplay,200,27,0.6,2600,,,nsfw ai roleplay,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,64,,1,FAIL,dr_gap_too_wide,,,,,,
sex ai roleplay,60,28,,2600,,,nsfw ai roleplay,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,67,,0,FAIL,dr_gap_too_wide,,,,,,
ai waifu maker,60,29,0.4,2500,,,waifu generator,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,51,,1,FAIL,dr_gap_too_wide,,,,,,
sexy ai waifu,40,33,,2500,,,waifu generator,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,59.5,,0,FAIL,dr_gap_too_wide,,,,,,
free ai waifu generator,30,29,,2500,,,waifu generator,informational,,seed_modifier,seed_modifier,,8,8,,mod=free,3,true,informational,53,,0,FAIL,dr_gap_too_wide,,,,,,
ai waifu generator,350,16,0.15,2400,,,waifu generator,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,mod=generator,3,false,informational+commercial,53,,0,FAIL,dr_gap_too_wide,,,,,,
what's the best ai girlfriend app,60,41,,2400,,,best ai girlfriend,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=best,3,false,informational+commercial,78,,0,FAIL,dr_gap_too_wide,,,,,,
best virtual girlfriend app,40,6,1.1,2400,,,best ai girlfriend,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=best,3,false,informational+commercial,81,,0,FAIL,dr_gap_too_wide,,,,,,
ai roleplay sex,100,43,,2000,,,nsfw ai roleplay,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,75,,0,FAIL,dr_gap_too_wide,,,,,,
ai erotic roleplay,150,19,0.9,1900,,,ai roleplay,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,72.5,,0,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay chatbot,40,35,,1700,,,ai roleplay,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,71,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw images ai,40,20,,1700,,,free ai nsfw generator,informational|commercial,,seed_modifier,seed_modifier,,7,7,,,3,false,informational+commercial,84,,0,FAIL,dr_gap_too_wide,,,,,,
erotic ai roleplay,150,46,,1600,,,ai roleplay,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,71,,0,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay sites,60,46,,1600,,,roleplay sites,informational,,seed_modifier,seed_modifier,6.022,7,8,3.0,"traffic=4.11, win=3.0(kd=46,wlc=3,DR21.0/ceil30); above_ceiling",3,false,informational,29.5,,3,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
nsfw chatbot app,30,34,,1600,,,nsfw ai apps,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,71.5,,0,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay online,60,37,,1500,,,roleplay sites,informational|transactional,,seed_modifier,seed_modifier,6.101,7,8,3.0,"traffic=4.5, win=3.0(kd=37,wlc=1,DR21.0/ceil30)",3,false,informational,36,,1,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
virtual girlfriend app,300,48,0.7,1300,,,soulful ai,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,,,,FAIL,serp_unavailable_for_difficulty,,,,,,
anime ai waifu,30,33,,1300,,,waifus,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,72,,0,FAIL,dr_gap_too_wide,,,,,,
what is the best ai girlfriend,70,47,,1100,,,best ai girlfriend,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=best,3,false,informational+commercial,91,,0,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay bot,40,0,,1100,,,ai sex chatbot,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,77,,0,FAIL,dr_gap_too_wide,,,,,,
best ai companion app,600,1,1.3,1000,,,ai companion app,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=best,3,false,informational+commercial,94,,1,FAIL,dr_gap_too_wide,,,,,,
nsfw ai roleplay free,90,36,,1000,,,nsfw ai rp,informational,,seed_modifier,seed_modifier,,7,8,,mod=free,3,true,informational,58,,1,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay ai chatbot,40,48,,1000,,,nsfw ai rp,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,71,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw images,1800,22,0.7,700,,,ai nsfw generator,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,7,,,3,false,informational+commercial,91.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai roleplay no filter,200,58,0.7,600,,,nsfw ai roleplay,informational|commercial,,seed_modifier,seed_modifier,,7,8,,mod=no filter,3,true,informational+commercial,40.5,,1,FAIL,dr_gap_too_wide,,,,,,
best nsfw ai roleplay,100,50,,600,,,nsfw ai roleplay,informational|commercial,,seed_modifier,seed_modifier,,7,8,,mod=best,3,false,informational+commercial,74.5,,1,FAIL,dr_gap_too_wide,,,,,,
virtual girlfriend nsfw,100,10,,500,,,nsfw ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,54,,0,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay,500,46,0.1,100,,,erotic roleplay,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,39,,1,FAIL,dr_gap_too_wide,,,,,,
what is erotic roleplay,50,0,,100,,,erotic roleplay,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,92,,0,FAIL,dr_gap_too_wide,,,,,,
best ai roleplay apps,300,1,1.1,50,,,ai character rp,informational|commercial,,seed_modifier,seed_modifier,,7,8,,mod=best,3,false,informational+commercial,84.5,,0,FAIL,dr_gap_too_wide,,,,,,
